NM_001305289.1	sp	O02768	PGH2_RABIT	57.092	557	235	4	466	2127	15	570	0.0	689
NM_001305290.1	sp	Q5ZLR5	UCRI_CHICK	51.777	197	94	1	227	817	75	270	2.99e-68	217
NM_001305292.1	sp	H2A0L0	TYRO1_PINMG	30.211	427	241	18	132	1349	10	400	3.95e-33	137
NM_001305293.1	sp	P29190	PCKG_HAECO	65.751	619	209	3	148	1998	1	618	0.0	874
NM_001305295.1	sp	P35224	CTNB_URECA	77.883	841	154	16	169	2664	1	818	0.0	1251
NM_001305296.1	sp	P81004	VDAC2_XENLA	63.929	280	99	2	37	870	3	282	9.94e-121	353
NM_001305297.1	sp	H2A0L1	TYRO2_PINMG	33.333	366	208	13	401	1420	55	410	1.01e-39	156
NM_001305298.1	sp	P56395	CYB5_MOUSE	57.143	126	51	2	59	433	10	133	1.18e-41	141
NM_001305299.1	sp	Q90YI8	TAL1_TAKRU	74.194	62	16	0	418	603	205	266	3.39e-24	106
NM_001305300.1	sp	Q9ULZ9	MMP17_HUMAN	38.636	484	281	10	644	2068	52	528	1.71e-108	347
NM_001305301.1	sp	P29375	KDM5A_HUMAN	59.212	1498	528	15	22	4347	13	1483	0.0	1632
NM_001305302.1	sp	Q92113	CP17A_SQUAC	33.333	477	300	8	137	1537	31	499	4.59e-87	281
NM_001305303.1	sp	Q6PFM0	JMJD6_DANRE	68.732	339	105	1	1	1017	1	338	6.41e-171	487
NM_001305305.1	sp	Q6Q899	RIGI_MOUSE	28.736	870	507	31	490	2871	14	846	3.87e-83	294
NM_001305306.1	sp	P86856	MANL_MYTCA	41.579	380	154	9	191	1312	2	319	1.03e-78	253
NM_001305307.1	sp	O15145	ARPC3_HUMAN	72.316	177	47	2	13	537	1	177	1.38e-96	280
NM_001305308.1	sp	P49282	NRAM2_MOUSE	55.605	446	174	3	183	1448	54	499	1.14e-150	448
NM_001305309.1	sp	P86856	MANL_MYTCA	38.220	382	164	7	298	1419	1	318	1.40e-70	232
NM_001305310.1	sp	P07746	HMGT_ONCMY	39.634	164	84	5	185	640	2	162	1.70e-24	100
NM_001305311.1	sp	Q6NSN2	AOF_DANRE	61.044	498	193	1	116	1609	7	503	0.0	600
NM_001305312.1	sp	Q8JI28	TLL1_XENLA	51.986	856	394	11	406	2943	150	998	0.0	939
NM_001305313.2	sp	Q92005	EF1A_DANRE	86.005	443	62	0	106	1434	1	443	0.0	800
NM_001305314.1	sp	Q86FP7	RS23_DERVA	87.413	143	17	1	55	480	1	143	7.51e-87	254
NM_001305316.1	sp	Q9Y345	SC6A5_HUMAN	41.589	642	329	9	112	1980	173	787	5.95e-159	499
NM_001305317.1	sp	A0A481NSZ4	BPI_SEBSC	28.692	474	318	7	86	1480	9	471	1.04e-49	181
NM_001305318.1	sp	P42577	FRIS_LYMST	83.626	171	28	0	96	608	1	171	5.20e-104	302
NM_001305319.1	sp	Q9ULX7	CAH14_HUMAN	40.756	238	135	5	188	895	15	248	2.48e-49	180
NM_001305319.1	sp	Q9ULX7	CAH14_HUMAN	39.485	233	133	6	1259	1951	22	248	2.60e-43	163
NM_001305320.1	sp	Q8VCD7	KDM4C_MOUSE	48.802	334	158	6	178	1164	679	1004	7.01e-90	296
NM_001305321.1	sp	H2A0L4	CHI1_PINMG	55.850	453	197	2	625	1983	17	466	2.42e-178	522
NM_001305322.1	sp	F1NV61	CASP7_CHICK	46.259	294	146	4	111	971	21	309	4.55e-83	267
NM_001305323.1	sp	H2A0L4	CHI1_PINMG	52.575	466	212	4	141	1538	11	467	5.06e-173	501
NM_001305324.1	sp	Q5F363	JARD2_CHICK	43.694	222	123	2	4084	4749	835	1054	5.77e-49	195
NM_001305324.1	sp	Q5F363	JARD2_CHICK	43.750	192	97	3	3493	4044	528	716	5.43e-41	169
NM_001305326.1	sp	Q13231	CHIT1_HUMAN	42.585	472	238	7	454	1857	23	465	1.56e-125	384
NM_001305328.1	sp	Q8BW74	HLF_MOUSE	46.886	273	118	10	101	841	21	292	6.37e-52	180
NM_001305329.1	sp	Q61496	DDX4_MOUSE	62.022	445	165	2	838	2160	231	675	2.00e-175	531
NM_001305330.1	sp	Q90670	AVR2B_CHICK	50.320	469	202	10	437	1822	58	502	1.72e-148	443
NM_001305331.1	sp	Q9FWW6	GSXL1_ARATH	33.333	390	236	12	28	1155	3	382	1.92e-52	186
NM_001305332.1	sp	P15330	DORS_DROME	56.028	282	120	4	306	1142	48	328	1.30e-95	325
NM_001305333.1	sp	P15253	CALR_RABIT	73.512	336	86	3	82	1086	17	350	2.77e-142	421
NM_001305334.1	sp	A0A0P6JG37	ASAH1_HETGA	52.703	370	169	3	61	1158	25	392	4.39e-150	432
NM_001305335.1	sp	P83757	CACT_DROYA	36.752	234	123	3	549	1181	213	444	1.45e-36	144
NM_001305337.1	sp	Q98SW2	HIF1A_ONCMY	39.783	553	272	13	464	1960	24	569	5.32e-111	365
NM_001305338.1	sp	P42577	FRIS_LYMST	82.036	167	30	0	46	546	1	167	2.88e-101	292
NM_001305340.1	sp	P33198	IDHP_PIG	74.209	411	105	1	115	1344	6	416	0.0	651
NM_001305341.1	sp	P11216	PYGB_HUMAN	71.924	837	235	0	63	2573	3	839	0.0	1258
NM_001305342.1	sp	P05370	G6PD_RAT	68.884	466	135	5	147	1523	9	471	0.0	681
NM_001305343.1	sp	P23403	RS20_XENLA	92.308	117	7	2	34	378	3	119	1.19e-70	210
NM_001305344.1	sp	Q5VVH5	IKBP1_HUMAN	39.062	256	144	3	76	807	1	256	2.60e-54	188
NM_001305345.1	sp	P62862	RS30_MOUSE	63.910	133	46	1	39	431	1	133	4.64e-48	155
NM_001305346.1	sp	P55008	AIF1_HUMAN	58.741	143	59	0	169	597	5	147	2.72e-53	172
NM_001305347.1	sp	Q6L6Q6	LYS_MAGGI	56.835	139	55	1	18	434	1	134	2.10e-53	169
NM_001305348.1	sp	F7D3V9	LGR5_XENTR	33.528	856	508	8	1107	3665	29	826	7.39e-138	454
NM_001305349.1	sp	P31649	S6A13_MOUSE	52.759	580	243	6	127	1860	31	581	0.0	613
NM_001305350.1	sp	Q68EK2	CALRL_DANRE	33.609	363	214	7	448	1494	73	422	3.86e-58	206
NM_001305351.1	sp	A2RSX7	TYW5_MOUSE	64.483	290	102	1	511	1380	25	313	1.48e-137	400
NM_001305352.1	sp	P79781	RS27A_CHICK	95.513	156	7	0	8	475	1	156	1.75e-76	233
NM_001305353.1	sp	Q8N0N3	BGBP_PENMO	50.568	352	157	9	651	1694	24	362	1.05e-116	354
NM_001305354.1	sp	P12821	ACE_HUMAN	46.946	573	280	10	304	1998	670	1226	6.96e-156	487
NM_001305354.1	sp	P12821	ACE_HUMAN	42.707	569	303	9	304	1977	67	623	9.13e-134	428
NM_001305355.1	sp	P11501	HS90A_CHICK	80.631	444	78	3	841	2151	286	728	0.0	706
NM_001305355.1	sp	P11501	HS90A_CHICK	85.222	203	30	0	40	648	18	220	2.91e-112	358
NM_001305356.1	sp	P0CY46	EGFR_APIME	42.678	1277	584	29	570	4286	3	1169	0.0	961
NM_001305358.1	sp	A8QMS7	MYD88_TAKRU	36.027	297	165	9	342	1220	13	288	2.50e-49	174
NM_001305359.1	sp	Q64729	TGFR1_MOUSE	57.895	513	190	10	58	1584	13	503	0.0	573
NM_001305360.1	sp	Q9P959	AOX_EMENI	52.720	239	101	3	365	1045	86	324	1.14e-83	262
NM_001305361.1	sp	Q2KIJ5	KDSR_BOVIN	55.944	286	123	2	88	942	32	315	4.56e-115	339
NM_001305362.1	sp	Q16956	BIP_APLCA	89.163	609	66	0	204	2030	37	645	0.0	1001
NM_001305363.1	sp	P11833	TBB_PARLI	96.279	430	16	0	74	1363	1	430	0.0	851
NM_001305364.1	sp	Q8N0N3	BGBP_PENMO	39.118	340	180	11	373	1347	31	358	1.47e-68	226
NM_001305365.1	sp	Q6GQB5	AKIR2_XENLA	50.265	189	86	3	34	600	1	181	2.05e-48	168
NM_001305367.1	sp	Q8IT98	RS18_ARGIR	88.889	135	15	0	23	427	1	135	1.14e-90	264
NM_001305368.2	sp	Q01361	CP2DE_BOVIN	29.278	485	319	11	108	1538	30	498	2.94e-64	221
NM_001305369.2	sp	O77302	RS10_LUMRU	73.571	140	35	1	35	454	1	138	1.21e-63	196
NM_001305370.1	sp	Q98943	CASP2_CHICK	29.581	382	215	9	190	1251	65	420	4.88e-36	143
NM_001305371.1	sp	Q9U6M0	ECSIT_DROME	33.866	313	201	5	466	1392	63	373	1.34e-50	181
NM_001305372.1	sp	P54985	PPIA_BLAGE	77.439	164	37	0	1	492	1	164	1.53e-90	268
